Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
ABSOLUTE  LYMPHOCYTE COUNT,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ABSOLUTE NEUTROPHIL COUNT,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ACTIVE PARTIAL THROMBOPLASTIN TIME (APTT),Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AEC,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BLEEDING TIME (BT),Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BLOOD GROUP & RH TYPE,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"BT,CT",Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CLOTTING TIME (CT),Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COMPLETE BLOOD COUNT(CBC),Laboratory, Isha Diagnostics,24 hrs,350,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COMPLETE HAEMOGRAM (CBP),Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CROSS MATCH WHOLE BLOOD/PACKED,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
D-DIMER,Laboratory, Isha Diagnostics,24 hrs,1490,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DIFFERENTIAL COUNT (DC),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ESR,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FIBRINOGEN LEVEL,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
G-6-PD,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
